Hg,Hi,Hm,Hp,He,Ib-FDTD,Ir-FDTD,It-FDTD,Ib-CPN,Ir-CPN,It-CPN
60,40,160,35,20,18.8547,7.2375,15.036,18.7715,7.136,14.7258
30,60,200,15,35,17.2222,7.4623,18.2867,17.1866,7.2586,17.9494
70,30,250,30,30,16.8384,5.9214,19.2411,16.8526,6.0731,18.8917
90,60,250,15,15,17.8833,5.4372,19.0332,17.9228,5.3355,19.1932
80,50,250,20,35,16.6417,6.0613,18.6383,16.6624,6.104,18.9146
20,20,250,35,20,16.7572,6.4414,16.8808,16.8216,6.4082,17.0485
20,50,160,30,25,18.0366,8.5373,14.6221,17.905,8.3647,14.869
20,40,250,25,20,16.9251,6.5836,17.67,16.945,6.2979,17.896
40,20,250,15,35,15.9125,6.5857,19.6246,16.2185,6.3761,19.921
40,20,250,35,35,15.9902,6.4564,17.4438,16.2349,6.5371,17.7637
70,60,250,30,15,17.8548,5.946,17.1829,17.8938,5.796,17.2648
90,60,250,15,20,17.6541,5.6987,18.52,17.7206,5.503,18.7496
20,50,230,35,30,17.0262,7.1145,17.3962,16.8747,7.0981,17.1793
40,20,250,30,15,17.2076,5.8389,18.0315,17.4182,5.7429,18.0103
10,50,250,25,25,16.6412,6.8882,19.6457,16.7377,6.8757,19.377
40,30,160,35,20,18.6529,7.4613,14.966,18.6742,7.2605,14.6539
100,50,250,35,20,17.4735,6.1556,16.3556,17.6297,6.083,16.5567
10,30,250,25,30,16.0431,7.0323,19.4811,16.1096,7.0638,19.2813
20,50,160,30,35,17.4787,8.8131,15.1469,17.5,8.491,14.8994
10,30,160,25,25,17.8088,8.5169,15.2604,17.7175,8.4224,15.5922
70,60,250,35,20,17.5805,6.2243,16.2255,17.6388,6.108,16.4114
60,40,250,25,20,17.515,5.7159,17.8966,17.4727,5.4576,18.0562
40,20,250,25,20,16.9538,6.075,18.144,17.1435,5.7783,18.2069
20,60,220,35,15,17.9861,7.0858,16.6132,17.8503,6.8615,16.2654
10,50,250,30,30,16.4184,6.9753,18.6195,16.3763,7.071,18.4652
