Hg,Hi,Hm,Hp,He,Ib,Ir,It,|Ka|
70 ,30 ,190 ,25 ,30 ,18.2599 ,5.8520 ,18.1833 ,0.0767 
80 ,30 ,190 ,25 ,30 ,18.3173 ,5.8587 ,18.1433 ,0.1740 
90 ,30 ,190 ,25 ,30 ,18.3363 ,5.9096 ,18.0850 ,0.2513 
10 ,30 ,200 ,25 ,30 ,17.0787 ,7.6969 ,16.3842 ,0.6944 
100 ,30 ,200 ,25 ,30 ,18.1574 ,6.1657 ,16.8627 ,1.2947 
20 ,30 ,200 ,25 ,30 ,17.2998 ,7.2239 ,16.6032 ,0.6966 
30 ,30 ,200 ,25 ,30 ,17.4814 ,6.9162 ,16.7301 ,0.7513 
40 ,30 ,200 ,25 ,30 ,17.6871 ,6.5084 ,16.9112 ,0.7758 
50 ,30 ,200 ,25 ,30 ,17.8454 ,6.2778 ,16.9948 ,0.8506 
60 ,30 ,200 ,25 ,30 ,17.9961 ,6.0128 ,17.0985 ,0.8975 
70 ,30 ,200 ,25 ,30 ,18.0945 ,5.9373 ,17.0982 ,0.9963 
80 ,30 ,200 ,25 ,30 ,18.1630 ,5.8845 ,17.0873 ,1.0757 
90 ,30 ,200 ,25 ,30 ,18.1790 ,6.0190 ,16.9741 ,1.2049 
10 ,30 ,210 ,25 ,30 ,16.9530 ,7.4267 ,18.0379 ,1.0849 
100 ,30 ,210 ,25 ,30 ,17.9634 ,6.0526 ,18.4047 ,0.4413 
20 ,30 ,210 ,25 ,30 ,17.1229 ,7.0946 ,18.1874 ,1.0645 
30 ,30 ,210 ,25 ,30 ,17.3329 ,6.6238 ,18.4178 ,1.0850 
40 ,30 ,210 ,25 ,30 ,17.4998 ,6.3280 ,18.5412 ,1.0414 
50 ,30 ,210 ,25 ,30 ,17.6748 ,5.9711 ,18.7032 ,1.0284 
60 ,30 ,210 ,25 ,30 ,17.8009 ,5.8038 ,18.7498 ,0.9488 
70 ,30 ,210 ,25 ,30 ,17.9087 ,5.6549 ,18.7876 ,0.8789 
80 ,30 ,210 ,25 ,30 ,17.9654 ,5.7029 ,18.7054 ,0.7400 
90 ,30 ,210 ,25 ,30 ,17.9887 ,5.7891 ,18.6079 ,0.6192 
10 ,30 ,220 ,25 ,30 ,16.7597 ,7.3497 ,17.1431 ,0.3834 
100 ,30 ,220 ,25 ,30 ,17.7588 ,6.1500 ,17.3660 ,0.3929 
20 ,30 ,220 ,25 ,30 ,16.9617 ,6.9091 ,17.3485 ,0.3867 
30 ,30 ,220 ,25 ,30 ,17.1250 ,6.6371 ,17.4567 ,0.3318 
40 ,30 ,220 ,25 ,30 ,17.3122 ,6.2743 ,17.6098 ,0.2976 
50 ,30 ,220 ,25 ,30 ,17.4551 ,6.0892 ,17.6612 ,0.2061 
60 ,30 ,220 ,25 ,30 ,17.5940 ,5.8710 ,17.7288 ,0.1349 
70 ,30 ,220 ,25 ,30 ,17.6859 ,5.8391 ,17.6903 ,0.0044 
80 ,30 ,220 ,25 ,30 ,17.7533 ,5.8223 ,17.6454 ,0.1079 
90 ,30 ,220 ,25 ,30 ,17.7731 ,5.9869 ,17.4986 ,0.2744 
10 ,30 ,230 ,25 ,30 ,16.5846 ,7.1354 ,18.7821 ,2.1975 
100 ,30 ,230 ,25 ,30 ,17.5031 ,6.0885 ,18.9240 ,1.4209 
20 ,30 ,230 ,25 ,30 ,16.7294 ,6.8485 ,18.9120 ,2.1826 
30 ,30 ,230 ,25 ,30 ,16.9143 ,6.4297 ,19.1172 ,2.2029 
40 ,30 ,230 ,25 ,30 ,17.0596 ,6.1852 ,19.2116 ,2.1520 
50 ,30 ,230 ,25 ,30 ,17.2178 ,5.8774 ,19.3431 ,2.1253 
60 ,30 ,230 ,25 ,30 ,17.3327 ,5.7554 ,19.3570 ,2.0243 
70 ,30 ,230 ,25 ,30 ,17.4355 ,5.6411 ,19.3668 ,1.9313 
80 ,30 ,230 ,25 ,30 ,17.4927 ,5.7179 ,19.2566 ,1.7639 
90 ,30 ,230 ,25 ,30 ,17.5207 ,5.8174 ,19.1424 ,1.6217 
10 ,30 ,240 ,25 ,30 ,16.3100 ,7.1419 ,17.8674 ,1.5574 
100 ,30 ,240 ,25 ,30 ,17.2392 ,6.1946 ,17.9268 ,0.6877 
20 ,30 ,240 ,25 ,30 ,16.4833 ,6.7556 ,18.0499 ,1.5666 
30 ,30 ,240 ,25 ,30 ,16.6227 ,6.5362 ,18.1318 ,1.5091 
40 ,30 ,240 ,25 ,30 ,16.7919 ,6.2203 ,18.2596 ,1.4677 
50 ,30 ,240 ,25 ,30 ,16.9221 ,6.0778 ,18.2835 ,1.3613 
60 ,30 ,240 ,25 ,30 ,17.0560 ,5.8896 ,18.3296 ,1.2736 
70 ,30 ,240 ,25 ,30 ,17.1469 ,5.8825 ,18.2690 ,1.1222 
80 ,30 ,240 ,25 ,30 ,17.2185 ,5.8743 ,18.2132 ,0.9947 
90 ,30 ,240 ,25 ,30 ,17.2451 ,6.0431 ,18.0564 ,0.8112 
10 ,30 ,250 ,25 ,35 ,15.7296 ,7.1104 ,18.1981 ,2.4685 
100 ,30 ,250 ,25 ,35 ,16.5529 ,6.3321 ,18.1447 ,1.5917 
20 ,30 ,250 ,25 ,35 ,15.8208 ,6.8951 ,18.2614 ,2.4406 
30 ,30 ,250 ,25 ,35 ,15.9633 ,6.6183 ,18.3738 ,2.4104 
40 ,30 ,250 ,25 ,35 ,16.1045 ,6.3774 ,18.4592 ,2.3547 
50 ,30 ,250 ,25 ,35 ,16.2403 ,6.1789 ,18.5149 ,2.2746 
60 ,30 ,250 ,25 ,35 ,16.3586 ,6.0482 ,18.5290 ,2.1704 
70 ,30 ,250 ,25 ,35 ,16.4554 ,5.9936 ,18.4982 ,2.0428 
80 ,30 ,250 ,25 ,35 ,16.5219 ,6.0269 ,18.4193 ,1.8974 
90 ,30 ,250 ,25 ,35 ,16.5554 ,6.1464 ,18.2957 ,1.7403 
10 ,30 ,160 ,25 ,35 ,17.1535 ,8.9338 ,16.0050 ,1.1485 
100 ,30 ,160 ,25 ,35 ,18.3164 ,7.1752 ,16.5752 ,1.7412 
20 ,30 ,160 ,25 ,35 ,17.4061 ,8.5346 ,16.1178 ,1.2883 
30 ,30 ,160 ,25 ,35 ,17.6427 ,8.1541 ,16.2368 ,1.4059 
40 ,30 ,160 ,25 ,35 ,17.8601 ,7.7983 ,16.3598 ,1.5004 
50 ,30 ,160 ,25 ,35 ,18.0445 ,7.4916 ,16.4741 ,1.5705 
60 ,30 ,160 ,25 ,35 ,18.1923 ,7.2428 ,16.5756 ,1.6167 
70 ,30 ,160 ,25 ,35 ,18.2963 ,7.0803 ,16.6409 ,1.6554 
80 ,30 ,160 ,25 ,35 ,18.3530 ,7.0132 ,16.6649 ,1.6880 
90 ,30 ,160 ,25 ,35 ,18.3600 ,7.0458 ,16.6419 ,1.7181 
10 ,30 ,170 ,25 ,35 ,17.3111 ,8.3041 ,15.0197 ,2.2913 
100 ,30 ,170 ,25 ,35 ,18.2169 ,6.7344 ,15.6259 ,2.5909 
20 ,30 ,170 ,25 ,35 ,17.3655 ,8.1023 ,15.1091 ,2.2564 
30 ,30 ,170 ,25 ,35 ,17.5801 ,7.7065 ,15.2607 ,2.3194 
40 ,30 ,170 ,25 ,35 ,17.7768 ,7.3428 ,15.4068 ,2.3700 
50 ,30 ,170 ,25 ,35 ,17.9506 ,7.0197 ,15.5430 ,2.4077 
60 ,30 ,170 ,25 ,35 ,18.0903 ,6.7695 ,15.6490 ,2.4413 
70 ,30 ,170 ,25 ,35 ,18.1915 ,6.6045 ,15.7180 ,2.4735 
80 ,30 ,170 ,25 ,35 ,18.2477 ,6.5446 ,15.7360 ,2.5118 
90 ,30 ,170 ,25 ,35 ,18.2558 ,6.5927 ,15.7024 ,2.5533 
10 ,30 ,180 ,25 ,35 ,17.0615 ,8.2085 ,16.8208 ,0.2407 
100 ,30 ,180 ,25 ,35 ,18.0978 ,6.5952 ,17.3685 ,0.7293 
20 ,30 ,180 ,25 ,35 ,17.2724 ,7.8062 ,16.9794 ,0.2929 
30 ,30 ,180 ,25 ,35 ,17.4762 ,7.4239 ,17.1325 ,0.3437 
40 ,30 ,180 ,25 ,35 ,17.6691 ,7.0696 ,17.2768 ,0.3923 
50 ,30 ,180 ,25 ,35 ,17.8374 ,6.7698 ,17.3987 ,0.4387 
60 ,30 ,180 ,25 ,35 ,17.9754 ,6.5353 ,17.4932 ,0.4822 
70 ,30 ,180 ,25 ,35 ,18.0739 ,6.3949 ,17.5407 ,0.5332 
80 ,30 ,180 ,25 ,35 ,18.1288 ,6.3579 ,17.5358 ,0.5930 
90 ,30 ,180 ,25 ,35 ,18.1370 ,6.4263 ,17.4769 ,0.6601 
10 ,30 ,190 ,25 ,35 ,17.0985 ,7.7286 ,15.8624 ,1.2361 
100 ,30 ,190 ,25 ,35 ,17.9610 ,6.3371 ,16.3291 ,1.6319 
20 ,30 ,190 ,25 ,35 ,17.1465 ,7.5143 ,15.9680 ,1.1785 
30 ,30 ,190 ,25 ,35 ,17.3421 ,7.1189 ,16.1363 ,1.2057 
40 ,30 ,190 ,25 ,35 ,17.5247 ,6.7615 ,16.2867 ,1.2379 
50 ,30 ,190 ,25 ,35 ,17.6899 ,6.4523 ,16.4147 ,1.2752 
60 ,30 ,190 ,25 ,35 ,17.8242 ,6.2245 ,16.5017 ,1.3226 
70 ,30 ,190 ,25 ,35 ,17.9233 ,6.0903 ,16.5413 ,1.3819 
80 ,30 ,190 ,25 ,35 ,17.9798 ,6.0672 ,16.5233 ,1.4564 
90 ,30 ,190 ,25 ,35 ,17.9924 ,6.1557 ,16.4482 ,1.5442 
10 ,30 ,200 ,25 ,35 ,16.7994 ,7.7828 ,17.6014 ,0.8020 
100 ,30 ,200 ,25 ,35 ,17.8008 ,6.4157 ,17.9316 ,0.1308 
20 ,30 ,200 ,25 ,35 ,16.9949 ,7.3844 ,17.7715 ,0.7767 
30 ,30 ,200 ,25 ,35 ,17.1869 ,7.0122 ,17.9252 ,0.7383 
40 ,30 ,200 ,25 ,35 ,17.3701 ,6.6758 ,18.0586 ,0.6885 
50 ,30 ,200 ,25 ,35 ,17.5307 ,6.4022 ,18.1595 ,0.6288 
60 ,30 ,200 ,25 ,35 ,17.6640 ,6.2014 ,18.2230 ,0.5590 
70 ,30 ,200 ,25 ,35 ,17.7602 ,6.0997 ,18.2331 ,0.4729 
80 ,30 ,200 ,25 ,35 ,17.8163 ,6.1041 ,18.1853 ,0.3691 
90 ,30 ,200 ,25 ,35 ,17.8298 ,6.2119 ,18.0828 ,0.2530 
10 ,30 ,210 ,25 ,35 ,16.7758 ,7.3592 ,16.6803 ,0.0955 
100 ,30 ,210 ,25 ,35 ,17.6051 ,6.2569 ,16.8935 ,0.7116 
20 ,30 ,210 ,25 ,35 ,16.8346 ,7.1411 ,16.7762 ,0.0583 
30 ,30 ,210 ,25 ,35 ,17.0157 ,6.7712 ,16.9328 ,0.0829 
40 ,30 ,210 ,25 ,35 ,17.1847 ,6.4472 ,17.0631 ,0.1217 
50 ,30 ,210 ,25 ,35 ,17.3376 ,6.1783 ,17.1624 ,0.1753 
60 ,30 ,210 ,25 ,35 ,17.4621 ,5.9943 ,17.2152 ,0.2469 
70 ,30 ,210 ,25 ,35 ,17.5554 ,5.9050 ,17.2161 ,0.3392 
80 ,30 ,210 ,25 ,35 ,17.6113 ,5.9237 ,17.1589 ,0.4524 
90 ,30 ,210 ,25 ,35 ,17.6279 ,6.0483 ,17.0456 ,0.5823 
10 ,30 ,220 ,25 ,35 ,16.4637 ,7.4584 ,18.4002 ,1.9365 
100 ,30 ,220 ,25 ,35 ,17.3796 ,6.4382 ,18.4862 ,1.1066 
20 ,30 ,220 ,25 ,35 ,16.6380 ,7.0959 ,18.5573 ,1.9193 
30 ,30 ,220 ,25 ,35 ,16.8089 ,6.7667 ,18.6913 ,1.8824 
40 ,30 ,220 ,25 ,35 ,16.9724 ,6.4786 ,18.7985 ,1.8262 
50 ,30 ,220 ,25 ,35 ,17.1167 ,6.2547 ,18.8687 ,1.7520 
60 ,30 ,220 ,25 ,35 ,17.2380 ,6.1027 ,18.8977 ,1.6597 
70 ,30 ,220 ,25 ,35 ,17.3275 ,6.0445 ,18.8728 ,1.5453 
80 ,30 ,220 ,25 ,35 ,17.3831 ,6.0851 ,18.7913 ,1.4082 
90 ,30 ,220 ,25 ,35 ,17.4008 ,6.2191 ,18.6599 ,1.2591 
10 ,30 ,230 ,25 ,35 ,16.3450 ,7.1245 ,17.4736 ,1.1286 
100 ,30 ,230 ,25 ,35 ,17.1271 ,6.2988 ,17.4833 ,0.3563 
20 ,30 ,230 ,25 ,35 ,16.4166 ,6.9122 ,17.5511 ,1.1345 
30 ,30 ,230 ,25 ,35 ,16.5726 ,6.5962 ,17.6839 ,1.1113 
40 ,30 ,230 ,25 ,35 ,16.7201 ,6.3250 ,17.7874 ,1.0674 
50 ,30 ,230 ,25 ,35 ,16.8567 ,6.1059 ,17.8577 ,1.0010 
60 ,30 ,230 ,25 ,35 ,16.9713 ,5.9647 ,17.8817 ,0.9104 
70 ,30 ,230 ,25 ,35 ,17.0609 ,5.9096 ,17.8554 ,0.7945 
80 ,30 ,230 ,25 ,35 ,17.1182 ,5.9518 ,17.7753 ,0.6571 
90 ,30 ,230 ,25 ,35 ,17.1411 ,6.0888 ,17.6451 ,0.5040 
10 ,30 ,240 ,25 ,35 ,15.9816 ,7.2653 ,19.2010 ,3.2194 
100 ,30 ,240 ,25 ,35 ,16.8414 ,6.4809 ,19.1386 ,2.2972 
20 ,30 ,240 ,25 ,35 ,16.1280 ,6.9581 ,19.3360 ,3.2080 
30 ,30 ,240 ,25 ,35 ,16.2760 ,6.6809 ,19.4465 ,3.1704 
40 ,30 ,240 ,25 ,35 ,16.4228 ,6.4398 ,19.5291 ,3.1062 
50 ,30 ,240 ,25 ,35 ,16.5566 ,6.2548 ,19.5757 ,3.0191 
60 ,30 ,240 ,25 ,35 ,16.6742 ,6.1325 ,19.5832 ,2.9091 
70 ,30 ,240 ,25 ,35 ,16.7651 ,6.0934 ,19.5411 ,2.7761 
80 ,30 ,240 ,25 ,35 ,16.8266 ,6.1421 ,19.4479 ,2.6214 
90 ,30 ,240 ,25 ,35 ,16.8522 ,6.2739 ,19.3111 ,2.4590 
10 ,30 ,250 ,30 ,15 ,16.8703 ,6.5797 ,17.6330 ,0.7627 
100 ,30 ,250 ,30 ,15 ,17.8452 ,5.6722 ,17.6284 ,0.2168 
20 ,30 ,250 ,30 ,15 ,17.0515 ,6.2391 ,17.7682 ,0.7168 
30 ,30 ,250 ,30 ,15 ,17.1989 ,6.0618 ,17.8075 ,0.6086 
40 ,30 ,250 ,30 ,15 ,17.3770 ,5.7685 ,17.9092 ,0.5322 
50 ,30 ,250 ,30 ,15 ,17.5152 ,5.6438 ,17.9133 ,0.3981 
60 ,30 ,250 ,30 ,15 ,17.6560 ,5.4508 ,17.9593 ,0.3034 
70 ,30 ,250 ,30 ,15 ,17.7521 ,5.4361 ,17.9037 ,0.1516 
80 ,30 ,250 ,30 ,15 ,17.8260 ,5.4048 ,17.8667 ,0.0407 
90 ,30 ,250 ,30 ,15 ,17.8533 ,5.5503 ,17.7311 ,0.1222 
10 ,30 ,160 ,30 ,15 ,17.9845 ,8.3790 ,15.6166 ,2.3679 
100 ,30 ,160 ,30 ,15 ,19.2706 ,6.6386 ,16.1353 ,3.1353 
20 ,30 ,160 ,30 ,15 ,18.2425 ,8.0703 ,15.6577 ,2.5848 
30 ,30 ,160 ,30 ,15 ,18.5212 ,7.6189 ,15.8118 ,2.7094 
40 ,30 ,160 ,30 ,15 ,18.7473 ,7.3309 ,15.8826 ,2.8647 
50 ,30 ,160 ,30 ,15 ,18.9613 ,6.9518 ,16.0428 ,2.9185 
60 ,30 ,160 ,30 ,15 ,19.1184 ,6.7466 ,16.1115 ,3.0068 
70 ,30 ,160 ,30 ,15 ,19.2389 ,6.5253 ,16.2163 ,3.0227 
80 ,30 ,160 ,30 ,15 ,19.3011 ,6.4900 ,16.2181 ,3.0831 
90 ,30 ,160 ,30 ,15 ,19.3143 ,6.4762 ,16.2253 ,3.0890 
10 ,30 ,170 ,30 ,15 ,17.9976 ,8.0341 ,14.6673 ,3.3302 
100 ,30 ,170 ,30 ,15 ,19.1888 ,6.2559 ,15.2947 ,3.8941 
20 ,30 ,170 ,30 ,15 ,18.2630 ,7.5967 ,14.8158 ,3.4472 
30 ,30 ,170 ,30 ,15 ,18.4815 ,7.3182 ,14.8878 ,3.5937 
40 ,30 ,170 ,30 ,15 ,18.7104 ,6.9134 ,15.0513 ,3.6592 
50 ,30 ,170 ,30 ,15 ,18.8877 ,6.6750 ,15.1331 ,3.7546 
60 ,30 ,170 ,30 ,15 ,19.0477 ,6.3693 ,15.2704 ,3.7773 
70 ,30 ,170 ,30 ,15 ,19.1513 ,6.2445 ,15.3159 ,3.8354 
80 ,30 ,170 ,30 ,15 ,19.2170 ,6.1211 ,15.3711 ,3.8459 
90 ,30 ,170 ,30 ,15 ,19.2258 ,6.1830 ,15.3311 ,3.8947 
10 ,30 ,180 ,30 ,15 ,17.9890 ,7.5353 ,16.4287 ,1.5603 
100 ,30 ,180 ,30 ,15 ,19.1008 ,5.9358 ,16.9719 ,2.1289 
20 ,30 ,180 ,30 ,15 ,18.2002 ,7.2260 ,16.5175 ,1.6827 
30 ,30 ,180 ,30 ,15 ,18.4417 ,6.7737 ,16.7075 ,1.7342 
40 ,30 ,180 ,30 ,15 ,18.6357 ,6.4886 ,16.8055 ,1.8302 
50 ,30 ,180 ,30 ,15 ,18.8293 ,6.1167 ,16.9762 ,1.8531 
60 ,30 ,180 ,30 ,15 ,18.9690 ,5.9246 ,17.0469 ,1.9221 
70 ,30 ,180 ,30 ,15 ,19.0809 ,5.7240 ,17.1380 ,1.9429 
80 ,30 ,180 ,30 ,15 ,19.1350 ,5.7160 ,17.1194 ,2.0156 
90 ,30 ,180 ,30 ,15 ,19.1460 ,5.7356 ,17.0963 ,2.0497 
10 ,30 ,190 ,30 ,15 ,17.9004 ,7.3393 ,15.4740 ,2.4264 
100 ,30 ,190 ,30 ,15 ,19.0094 ,5.7277 ,16.0112 ,2.9982 
20 ,30 ,190 ,30 ,15 ,18.1355 ,6.8996 ,15.6514 ,2.4841 
30 ,30 ,190 ,30 ,15 ,18.3282 ,6.6217 ,15.7447 ,2.5834 
40 ,30 ,190 ,30 ,15 ,18.5418 ,6.2226 ,15.9136 ,2.6283 
50 ,30 ,190 ,30 ,15 ,18.7065 ,5.9949 ,15.9936 ,2.7129 
60 ,30 ,190 ,30 ,15 ,18.8615 ,5.7092 ,16.1143 ,2.7472 
70 ,30 ,190 ,30 ,15 ,18.9614 ,5.6100 ,16.1373 ,2.8241 
80 ,30 ,190 ,30 ,15 ,19.0287 ,5.5197 ,16.1606 ,2.8682 
90 ,30 ,190 ,30 ,15 ,19.0397 ,5.6182 ,16.0850 ,2.9547 
10 ,30 ,200 ,30 ,15 ,17.8062 ,7.0694 ,17.1635 ,0.6427 
100 ,30 ,200 ,30 ,15 ,18.8857 ,5.6718 ,17.5135 ,1.3723 
20 ,30 ,200 ,30 ,15 ,17.9967 ,6.7612 ,17.2699 ,0.7268 
30 ,30 ,200 ,30 ,15 ,18.2257 ,6.3161 ,17.4612 ,0.7644 
40 ,30 ,200 ,30 ,15 ,18.4091 ,6.0416 ,17.5540 ,0.8551 
50 ,30 ,200 ,30 ,15 ,18.5975 ,5.6905 ,17.7036 ,0.8939 
60 ,30 ,200 ,30 ,15 ,18.7336 ,5.5231 ,17.7481 ,0.9855 
70 ,30 ,200 ,30 ,15 ,18.8464 ,5.3557 ,17.8025 ,1.0439 
80 ,30 ,200 ,30 ,15 ,18.9033 ,5.3824 ,17.7443 ,1.1591 
90 ,30 ,200 ,30 ,15 ,18.9213 ,5.4379 ,17.6798 ,1.2415 
10 ,30 ,210 ,30 ,15 ,17.6629 ,6.9409 ,16.2293 ,1.4335 
100 ,30 ,210 ,30 ,15 ,18.7469 ,5.5780 ,16.5300 ,2.2169 
20 ,30 ,210 ,30 ,15 ,17.8862 ,6.5115 ,16.4048 ,1.4814 
30 ,30 ,210 ,30 ,15 ,18.0685 ,6.2474 ,16.4903 ,1.5782 
40 ,30 ,210 ,30 ,15 ,18.2742 ,5.8728 ,16.6379 ,1.6363 
50 ,30 ,210 ,30 ,15 ,18.4321 ,5.6731 ,16.6918 ,1.7403 
60 ,30 ,210 ,30 ,15 ,18.5831 ,5.4234 ,16.7779 ,1.8051 
70 ,30 ,210 ,30 ,15 ,18.6813 ,5.3611 ,16.7635 ,1.9179 
80 ,30 ,210 ,30 ,15 ,18.7512 ,5.3084 ,16.7486 ,2.0026 
90 ,30 ,210 ,30 ,15 ,18.7679 ,5.4415 ,16.6344 ,2.1335 
10 ,30 ,220 ,30 ,15 ,17.5251 ,6.7879 ,17.8805 ,0.3553 
100 ,30 ,220 ,30 ,15 ,18.5566 ,5.6803 ,17.9873 ,0.5693 
20 ,30 ,220 ,30 ,15 ,17.7018 ,6.5021 ,17.9775 ,0.2757 
30 ,30 ,220 ,30 ,15 ,17.9167 ,6.0904 ,18.1490 ,0.2324 
40 ,30 ,220 ,30 ,15 ,18.0872 ,5.8511 ,18.2178 ,0.1306 
50 ,30 ,220 ,30 ,15 ,18.2653 ,5.5415 ,18.3363 ,0.0710 
60 ,30 ,220 ,30 ,15 ,18.3936 ,5.4145 ,18.3468 ,0.0468 
70 ,30 ,220 ,30 ,15 ,18.5029 ,5.2858 ,18.3664 ,0.1365 
80 ,30 ,220 ,30 ,15 ,18.5608 ,5.3468 ,18.2729 ,0.2879 
90 ,30 ,220 ,30 ,15 ,18.5836 ,5.4274 ,18.1802 ,0.4034 
10 ,30 ,230 ,30 ,15 ,17.3424 ,6.6849 ,16.9533 ,0.3891 
100 ,30 ,230 ,30 ,15 ,18.3553 ,5.6182 ,17.0406 ,1.3147 
20 ,30 ,230 ,30 ,15 ,17.5453 ,6.2966 ,17.1095 ,0.4358 
30 ,30 ,230 ,30 ,15 ,17.7091 ,6.0747 ,17.1721 ,0.5371 
40 ,30 ,230 ,30 ,15 ,17.8983 ,5.7463 ,17.2920 ,0.6063 
50 ,30 ,230 ,30 ,15 ,18.0420 ,5.5907 ,17.3165 ,0.7255 
60 ,30 ,230 ,30 ,15 ,18.1844 ,5.3810 ,17.3731 ,0.8114 
70 ,30 ,230 ,30 ,15 ,18.2792 ,5.3538 ,17.3281 ,0.9511 
80 ,30 ,230 ,30 ,15 ,18.3491 ,5.3254 ,17.2904 ,1.0587 
90 ,30 ,230 ,30 ,15 ,18.3703 ,5.4769 ,17.1542 ,1.2162 
10 ,30 ,240 ,30 ,15 ,17.1360 ,6.5912 ,18.6020 ,1.4660 
100 ,30 ,240 ,30 ,15 ,18.0979 ,5.7420 ,18.5461 ,0.4482 
20 ,30 ,240 ,30 ,15 ,17.2893 ,6.3537 ,18.6765 ,1.3872 
30 ,30 ,240 ,30 ,15 ,17.4828 ,5.9917 ,18.8242 ,1.3414 
40 ,30 ,240 ,30 ,15 ,17.6364 ,5.7995 ,18.8664 ,1.2300 
50 ,30 ,240 ,30 ,15 ,17.8022 ,5.5300 ,18.9613 ,1.1592 
60 ,30 ,240 ,30 ,15 ,17.9240 ,5.4382 ,18.9470 ,1.0230 
70 ,30 ,240 ,30 ,15 ,18.0314 ,5.3317 ,18.9500 ,0.9186 
80 ,30 ,240 ,30 ,15 ,18.0913 ,5.4095 ,18.8401 ,0.7488 
90 ,30 ,240 ,30 ,15 ,18.1180 ,5.4917 ,18.7429 ,0.6249 
10 ,30 ,250 ,30 ,20 ,16.6906 ,6.6492 ,17.2121 ,0.5215 
100 ,30 ,250 ,30 ,20 ,17.6001 ,5.8409 ,17.1908 ,0.4093 
20 ,30 ,250 ,30 ,20 ,16.8454 ,6.3803 ,17.3130 ,0.4677 
30 ,30 ,250 ,30 ,20 ,17.0029 ,6.1298 ,17.3990 ,0.3961 
40 ,30 ,250 ,30 ,20 ,17.1595 ,5.9028 ,17.4677 ,0.3082 
50 ,30 ,250 ,30 ,20 ,17.3025 ,5.7191 ,17.5106 ,0.2081 
60 ,30 ,250 ,30 ,20 ,17.4279 ,5.5862 ,17.5250 ,0.0972 
70 ,30 ,250 ,30 ,20 ,17.5243 ,5.5291 ,17.4994 ,0.0249 
80 ,30 ,250 ,30 ,20 ,17.5881 ,5.5536 ,17.4323 ,0.1559 
90 ,30 ,250 ,30 ,20 ,17.6138 ,5.6596 ,17.3275 ,0.2863 
10 ,30 ,160 ,30 ,20 ,18.0714 ,8.2679 ,15.2065 ,2.8649 
100 ,30 ,160 ,30 ,20 ,19.1155 ,6.7438 ,15.7289 ,3.3866 
20 ,30 ,160 ,30 ,20 ,18.1461 ,8.1180 ,15.2423 ,2.9037 
30 ,30 ,160 ,30 ,20 ,18.3969 ,7.7567 ,15.3495 ,3.0474 
40 ,30 ,160 ,30 ,20 ,18.6220 ,7.4203 ,15.4635 ,3.1585 
50 ,30 ,160 ,30 ,20 ,18.8176 ,7.1147 ,15.5814 ,3.2362 
60 ,30 ,160 ,30 ,20 ,18.9726 ,6.8696 ,15.6822 ,3.2903 
70 ,30 ,160 ,30 ,20 ,19.0837 ,6.6966 ,15.7584 ,3.3254 
80 ,30 ,160 ,30 ,20 ,19.1455 ,6.6180 ,15.7915 ,3.3540 
90 ,30 ,160 ,30 ,20 ,19.1558 ,6.6368 ,15.7801 ,3.3756 
10 ,30 ,170 ,30 ,20 ,17.8879 ,8.0312 ,14.2706 ,3.6173 
100 ,30 ,170 ,30 ,20 ,19.0232 ,6.3349 ,14.8847 ,4.1385 
20 ,30 ,170 ,30 ,20 ,18.1287 ,7.6603 ,14.3875 ,3.7411 
30 ,30 ,170 ,30 ,20 ,18.3560 ,7.3005 ,14.5131 ,3.8429 
40 ,30 ,170 ,30 ,20 ,18.5669 ,6.9575 ,14.6446 ,3.9223 
50 ,30 ,170 ,30 ,20 ,18.7484 ,6.6565 ,14.7665 ,3.9819 
60 ,30 ,170 ,30 ,20 ,18.8964 ,6.4075 ,14.8733 ,4.0230 
70 ,30 ,170 ,30 ,20 ,19.0010 ,6.2429 ,14.9433 ,4.0577 
80 ,30 ,170 ,30 ,20 ,19.0586 ,6.1729 ,14.9709 ,4.0877 
90 ,30 ,170 ,30 ,20 ,19.0665 ,6.2045 ,14.9504 ,4.1161 
10 ,30 ,180 ,30 ,20 ,18.0254 ,7.4452 ,16.0363 ,1.9891 
100 ,30 ,180 ,30 ,20 ,18.9302 ,6.0579 ,16.5540 ,2.3763 
20 ,30 ,180 ,30 ,20 ,18.0754 ,7.2856 ,16.1048 ,1.9706 
30 ,30 ,180 ,30 ,20 ,18.2904 ,6.9236 ,16.2463 ,2.0441 
40 ,30 ,180 ,30 ,20 ,18.4883 ,6.5896 ,16.3828 ,2.1055 
50 ,30 ,180 ,30 ,20 ,18.6635 ,6.2915 ,16.5107 ,2.1529 
60 ,30 ,180 ,30 ,20 ,18.8051 ,6.0603 ,16.6096 ,2.1956 
70 ,30 ,180 ,30 ,20 ,18.9070 ,5.9088 ,16.6720 ,2.2350 
80 ,30 ,180 ,30 ,20 ,18.9631 ,5.8588 ,16.6824 ,2.2807 
90 ,30 ,180 ,30 ,20 ,18.9706 ,5.9127 ,16.6403 ,2.3303 
10 ,30 ,190 ,30 ,20 ,17.7645 ,7.4014 ,15.0707 ,2.6938 
100 ,30 ,190 ,30 ,20 ,18.8249 ,5.8768 ,15.5788 ,3.2461 
20 ,30 ,190 ,30 ,20 ,17.9755 ,7.0291 ,15.2160 ,2.7595 
30 ,30 ,190 ,30 ,20 ,18.1814 ,6.6704 ,15.3585 ,2.8228 
