Hg,Hi,Hm,Hp,He,Ib,Ir,It,|Ka|
80 ,20 ,200 ,15 ,15 ,18.9672 ,5.4666 ,19.3423 ,0.3751 
90 ,20 ,200 ,15 ,15 ,19.0660 ,5.5099 ,19.2172 ,0.1512 
10 ,20 ,210 ,15 ,15 ,17.5126 ,8.0415 ,17.1281 ,0.3845 
100 ,20 ,210 ,15 ,15 ,18.9316 ,5.4215 ,18.1482 ,0.7834 
20 ,20 ,210 ,15 ,15 ,17.5787 ,7.5563 ,17.4433 ,0.1354 
30 ,20 ,210 ,15 ,15 ,17.8022 ,6.9280 ,17.7863 ,0.0159 
40 ,20 ,210 ,15 ,15 ,18.0297 ,6.3567 ,18.0798 ,0.0501 
50 ,20 ,210 ,15 ,15 ,18.2559 ,5.8635 ,18.3109 ,0.0550 
60 ,20 ,210 ,15 ,15 ,18.4624 ,5.4975 ,18.4528 ,0.0097 
70 ,20 ,210 ,15 ,15 ,18.6434 ,5.2702 ,18.5003 ,0.1431 
80 ,20 ,210 ,15 ,15 ,18.7849 ,5.1883 ,18.4579 ,0.3270 
90 ,20 ,210 ,15 ,15 ,18.8832 ,5.2495 ,18.3304 ,0.5527 
10 ,20 ,220 ,15 ,15 ,17.1837 ,8.1430 ,18.7236 ,1.5400 
100 ,20 ,220 ,15 ,15 ,18.7165 ,5.5844 ,19.6269 ,0.9103 
20 ,20 ,220 ,15 ,15 ,17.3852 ,7.5025 ,19.1167 ,1.7314 
30 ,20 ,220 ,15 ,15 ,17.6016 ,6.8881 ,19.4718 ,1.8701 
40 ,20 ,220 ,15 ,15 ,17.8285 ,6.3219 ,19.7737 ,1.9452 
50 ,20 ,220 ,15 ,15 ,18.0475 ,5.8637 ,19.9858 ,1.9383 
60 ,20 ,220 ,15 ,15 ,18.2530 ,5.5286 ,20.0998 ,1.8467 
70 ,20 ,220 ,15 ,15 ,18.4284 ,5.3380 ,20.1113 ,1.6829 
80 ,20 ,220 ,15 ,15 ,18.5696 ,5.2942 ,20.0225 ,1.4529 
90 ,20 ,220 ,15 ,15 ,18.6663 ,5.3794 ,19.8576 ,1.1913 
10 ,20 ,230 ,15 ,15 ,17.1620 ,7.6961 ,17.9147 ,0.7527 
100 ,20 ,230 ,15 ,15 ,18.4721 ,5.3726 ,18.7614 ,0.2893 
20 ,20 ,230 ,15 ,15 ,17.2323 ,7.2060 ,18.2315 ,0.9992 
30 ,20 ,230 ,15 ,15 ,17.4326 ,6.6028 ,18.5751 ,1.1425 
40 ,20 ,230 ,15 ,15 ,17.6364 ,6.0638 ,18.8616 ,1.2252 
50 ,20 ,230 ,15 ,15 ,17.8408 ,5.6096 ,19.0777 ,1.2368 
60 ,20 ,230 ,15 ,15 ,18.0280 ,5.2866 ,19.1975 ,1.1694 
70 ,20 ,230 ,15 ,15 ,18.1944 ,5.1046 ,19.2161 ,1.0217 
80 ,20 ,230 ,15 ,15 ,18.3261 ,5.0665 ,19.1408 ,0.8147 
90 ,20 ,230 ,15 ,15 ,18.4210 ,5.1676 ,18.9777 ,0.5568 
10 ,20 ,240 ,15 ,15 ,16.8109 ,7.8066 ,19.5400 ,2.7292 
100 ,20 ,240 ,15 ,15 ,18.1880 ,5.5976 ,20.2720 ,2.0840 
20 ,20 ,240 ,15 ,15 ,16.9837 ,7.1999 ,19.9313 ,2.9476 
30 ,20 ,240 ,15 ,15 ,17.1708 ,6.6256 ,20.2792 ,3.1084 
40 ,20 ,240 ,15 ,15 ,17.3689 ,6.1047 ,20.5681 ,3.1992 
50 ,20 ,240 ,15 ,15 ,17.5622 ,5.6938 ,20.7619 ,3.1997 
60 ,20 ,240 ,15 ,15 ,17.7466 ,5.4062 ,20.8525 ,3.1058 
